month,district,count,mean,std,min,50%,80%,90%,max
2,嘉定,1906.0,59.4287265360258,18.21590182761036,17.15424915387825,57.68329608535794,74.46140974691487,83.00006206656946,147.72727272727272
2,奉贤,699.0,33.82972429427962,9.910090341605365,13.66120218579235,33.24099722991689,41.63514081546868,46.86132107986497,78.0793319415449
2,宝山,3037.0,65.4309130539068,19.368989679085214,0.5341642555085688,63.492063492063494,80.20656064551198,90.34739454094294,205.4653790836244
2,崇明,294.0,24.242176873848276,14.096438599625069,3.7313432835820897,21.788340143140612,32.15495962849851,41.31013828405531,95.52880481513327
2,徐汇,2584.0,134.82836927518403,45.79147687847228,39.26016402024079,126.90161609375583,161.66876247213136,188.38765568756529,459.3639575971731
2,普陀,2165.0,108.7949985881717,29.76165528186832,46.236559139784944,105.80469811687051,129.86457726195346,144.79034592222587,352.2302158273381
2,杨浦,1897.0,107.82362357746142,23.02924716148341,32.42266397363666,105.03621938599518,125.60055177850037,137.6,222.93782511766165
2,松江,2444.0,57.27397463424628,17.11459346230616,0.9555555555555556,55.2852747071751,69.63628402249093,78.62367894901445,167.98009124844464
2,浦东,1030.0,94.93294594605457,37.52009758712959,14.463729417000446,91.90000675111179,122.59411355003897,138.10763649722185,303.061434148346
2,虹口,1299.0,110.6626066544907,32.52200947158118,47.7887574923052,105.11968085106382,131.6535183506911,147.56584715075283,527.6174773289365
2,金山,440.0,28.641016888619486,7.641042502507991,6.949753283758427,27.874307091955533,33.83443279206134,37.689752161066295,63.86311603807688
2,长宁,2176.0,136.74371164314607,35.258894627144706,50.48076923076923,132.35190987301604,160.1123595505618,179.44272216439794,457.66590389016017
2,闵行,3158.0,82.26363108743193,28.893162802295254,22.974286471679772,78.59279356443773,102.81163617217324,117.69308614325413,450.6349856616141
2,青浦,1545.0,62.523129369635875,28.546999189465808,8.069288288772931,56.0,80.60837868941131,99.90000000000003,275.73208614009985
2,静安,2620.0,138.42920471600934,53.798784130889395,49.408399427902744,127.98918694115201,171.64676616915423,203.66905276228843,538.4615384615385
2,黄浦,1325.0,163.6876086984626,52.26198620074203,72.1901377165704,151.4366462552991,190.75778703770996,227.66848603054208,454.1326067211626
