district,count,mean,std,min,50%,80%,90%,max
嘉定,1409.0,4664.514549325763,2596.793218812877,1500.0,4050.0,5600.0,6800.0,45000.0
奉贤,520.0,2957.151923076923,1173.5724333241374,1000.0,2715.0,3600.0,4200.0,10000.0
宝山,2161.0,4936.818602498844,2274.6448592248926,700.0,4500.0,6000.0,7200.0,35000.0
崇明,229.0,2308.681222707424,1994.4870440762388,500.0,2000.0,3000.0,3500.0,20000.0
徐汇,1842.0,9450.026058631922,8291.562053215242,2100.0,6700.0,12360.000000000027,17000.0,150000.0
普陀,1525.0,7420.607868852459,4976.839317300364,1200.0,5760.0,9500.0,13000.0,65000.0
杨浦,1320.0,6706.315909090909,4718.789693908203,2500.0,5400.0,7800.0,10026.000000000036,45000.0
松江,1852.0,5670.870950323974,4208.566827601333,1300.0,4600.0,6600.0,8990.00000000001,45000.0
浦东,458.0,7730.414847161572,7041.352858123348,2000.0,5600.0,8500.0,12500.0,55000.0
虹口,882.0,8465.520408163266,18003.9411094759,2200.0,5600.0,9980.000000000007,14000.0,500000.0
金山,351.0,2626.897435897436,1181.9379102712053,600.0,2500.0,3200.0,3600.0,10000.0
长宁,1596.0,10254.294486215538,8662.031588193015,3000.0,6800.0,14280.0,20000.0,110000.0
闵行,2132.0,7283.654315196998,6153.652377371121,1900.0,5600.0,8500.0,12000.0,99999.0
青浦,1205.0,8423.860580912864,10636.549476042204,1600.0,4794.0,10000.0,18000.0,150000.0
静安,1921.0,9284.916710046851,8331.06947881048,2200.0,6500.0,12500.0,18000.0,158000.0
黄浦,1019.0,13783.66339548577,14297.876611331942,2100.0,9000.0,17500.0,26000.0,150000.0
