district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,丰庄,508.0,84.57954743919835,16.00979508757259,30.518376422374327,82.12947906256929,95.65628827802307,107.00378188243877,146.80778422669854
嘉定,华亭,3.0,28.870105128971545,4.0418012204579306,24.464831804281346,29.738076175225892,31.3396749145348,31.8735411609711,32.407407407407405
嘉定,南翔,1259.0,68.04702612977,14.493257072162454,29.32293346626397,66.35299794908916,79.23210744055125,87.5,120.90359529112312
嘉定,嘉定新城,998.0,61.952657112151336,14.720372728227273,33.106258356146945,59.29858653156592,73.0544631714494,81.02390617952189,146.7391304347826
嘉定,嘉定老城,411.0,50.220605353227654,17.2872389412414,22.910600925970122,47.16981132075472,61.62976489385984,71.42857142857143,236.28691983122363
嘉定,外冈,101.0,34.78575550713639,8.938976629183115,17.485064840448786,35.496957403651116,39.267015706806276,42.22873900293255,71.89359747573592
嘉定,安亭,1210.0,45.351221046554045,11.521366804858689,13.491015557724324,44.43255107428115,52.97862905458097,59.05911355152689,113.33333333333333
嘉定,徐行,107.0,40.34946260625214,7.663144935918791,15.570664867389839,39.20690041447295,44.663599769982746,49.102185737188535,68.42105263157895
嘉定,新成路,74.0,38.186515152621766,8.927852158064665,23.317788141239173,37.926424800324895,46.06279728627317,50.60077307369726,65.93998116000537
嘉定,江桥,1313.0,69.90423710610709,13.767646990867624,34.930836942853155,68.85057471264368,81.16188512091927,86.90525101628869,147.72727272727272
嘉定,菊园新区,640.0,48.10757040349928,10.730748521755853,17.932752179327522,47.10084033613445,55.94168844849623,62.76415370887276,80.57427483152651
嘉定,马陆,63.0,46.24435787668076,8.125645093904659,28.82882882882883,45.631608235948804,51.61074493222236,59.346682974297636,71.16203290061492
奉贤,南桥,1141.0,34.268539137797056,9.111506540088461,15.217391304347826,33.42716396903589,41.23468426013196,45.740423098913666,75.43011517133513
奉贤,四团,32.0,35.52197433721739,10.413080474882962,13.66120218579235,35.78891489301161,40.818146771453776,49.9635027975315,63.63636363636363
奉贤,奉城,4.0,34.315240746471126,9.661289548680283,28.391806935712836,30.125857271515493,38.49734462132936,43.55739306423502,48.61744150714068
奉贤,奉贤金汇,502.0,31.47109496913132,8.966609649819862,13.519603424966203,31.325301204819276,39.436619718309856,44.169988340668,55.08749189889825
奉贤,庄行,32.0,31.480339771288566,12.519536039045233,11.329010078912415,31.158010025216218,36.21174577720062,38.16457962444745,78.37637158650277
奉贤,柘林,17.0,20.49645344934054,5.504670339793133,9.074410163339381,21.544759237315525,23.475795611522944,24.88760199793108,31.685678073510772
奉贤,海湾,257.0,29.93962598995775,9.646373353729919,7.332412081558984,29.408304905305258,36.12373904044053,42.859585034500874,74.0314222258781
奉贤,西渡,285.0,40.4004620859501,10.81304490422336,17.78526631096134,39.25392670157068,48.19951867207474,54.28145747695745,77.31384829505916
宝山,上大,1157.0,66.53928042543004,12.880143717638695,33.557046979865774,65.1392632524708,76.29898328296576,83.33912137523875,141.7827641474541
宝山,共富,227.0,59.85378611719954,11.384771195921997,28.836509528585754,59.630535180657425,68.88952132858844,73.77221955061292,99.17355371900827
宝山,共康,545.0,73.80777418178413,13.377880039920997,39.14126438144941,72.48520710059172,82.14363949303709,87.67413653690656,226.0397830018083
宝山,大华,771.0,81.63138622727166,16.697739777242127,42.531581286104235,79.13669064748201,91.32420091324201,99.3103448275862,196.02077820248945
宝山,大场镇,364.0,70.35723439260097,15.673729957617072,28.6028602860286,68.0,84.62282135681657,92.0282192277479,126.62068965517241
宝山,张庙,600.0,77.70951100841467,15.377287841043756,35.45344962064809,76.44332155793052,89.94255479969766,99.57906913780798,138.9655172413793
宝山,月浦,294.0,50.0810143731678,11.263300790703715,19.353590090961873,49.57226259009809,58.076408818996555,62.723744515907214,91.4169629253428
宝山,杨行,943.0,58.359058339486076,11.92972017459018,1.0,57.08529214237743,67.12038001286545,72.99064402309801,106.44768856447688
宝山,淞南,557.0,78.56563320666503,17.380277730491468,44.44444444444444,75.04263786242183,92.09503664715432,103.76769524088958,146.70439065283452
宝山,淞宝,824.0,71.91919242028473,16.166450314851243,27.66340710241894,70.28935270314057,83.79642035504048,91.53953120055719,237.41496598639458
宝山,罗店,796.0,45.881329908767384,11.662039543579493,21.34069796635702,44.80570904764073,55.172413793103445,61.96248099063138,114.54228901310364
宝山,罗泾,53.0,39.665866707087396,10.289308396468378,0.5341642555085688,41.53743907842268,46.286351718953696,47.348336312107925,70.17329753478154
宝山,通河,248.0,81.45311947211943,14.340278114268708,54.1813898704358,79.91923341576907,92.77834650676465,99.2700980252065,128.43104032531343
宝山,顾村,2265.0,59.465352708632786,17.159959130426483,18.885741265344667,55.84707646176911,73.63363367093109,85.31937305666605,189.81094829549767
宝山,高境,537.0,86.97051150397856,20.15775546552214,39.31435760339676,83.33333333333333,98.77048032195135,109.90798683421885,186.66666666666666
崇明,崇明其它,3.0,27.354919878409703,11.751437594676759,14.108964619057955,31.42744901967787,34.48798720576711,35.5081666011302,36.52834599649328
崇明,崇明新城,305.0,25.281532066380013,13.206194892363596,7.207578253706754,24.093482712926154,32.749481906583775,38.339113892514895,95.52880481513327
崇明,长兴岛,155.0,33.88749593450823,9.321223476688347,18.333333333333332,32.608695652173914,41.720465706560724,47.666666666666664,60.283687943262414
崇明,陈家镇,416.0,18.76904642352199,10.77368075310557,3.7313432835820897,18.181818181818183,23.541453428863868,32.200405430946105,79.1139240506329
徐汇,万体馆,425.0,126.26354677097642,30.70044574199089,55.00305572531807,123.10110005238346,144.22069666920927,156.92927243981745,317.56756756756755
徐汇,上海南站,312.0,103.24066637749333,17.541867136600995,66.65244747787139,100.7306105728467,118.49734378952695,128.1987916298261,154.9533195020747
徐汇,华东理工,446.0,91.42107042982751,16.375788512945096,47.03895790616331,90.28471029537556,103.29843966028047,112.3518442582938,192.82296650717706
徐汇,华泾,282.0,87.44701303493582,18.304029811518195,49.75609756097561,84.84487290689918,99.38629905919626,113.47799491244236,181.25
徐汇,康健,920.0,111.51865296728296,23.374375788976774,66.2750414219009,108.33909635776854,126.47552682586515,139.43310746242724,289.3282713028749
徐汇,建国西路,272.0,192.1654076177123,55.18289911931674,70.65217391304348,180.0,225.68399129035316,269.5678575043012,414.0127388535032
徐汇,徐家汇,2245.0,139.6409087179509,28.667809909942644,66.9499163126046,136.47219379051518,158.59351554678926,172.9314661235658,346.9387755102041
徐汇,徐汇滨江,302.0,164.54465201556826,52.18303554502559,65.97549481621112,173.8306335432752,209.6184433399418,225.50124592677787,393.3333333333333
徐汇,斜土路,643.0,142.19327279890453,28.99692270957429,75.77807848443842,137.93103448275863,161.4639397201292,175.42431460640182,338.3458646616541
徐汇,植物园,254.0,94.9882447859535,19.128993705220953,46.37297118251076,91.77838522840717,107.63342286496338,116.69522483864561,220.98398024441207
徐汇,漕河泾,124.0,114.14721237134886,19.22678165736045,82.00387654689132,111.2165746996501,127.10338763810435,136.21697938593687,211.26760563380282
徐汇,田林,745.0,126.31852517215498,27.82221534066782,69.82236369237089,123.97500976181179,145.421680879939,160.9779854888117,247.66355140186917
徐汇,衡山路,512.0,197.51309104784252,65.99877836835012,91.93776520509194,184.60349749523556,231.50195053780052,279.23596673596677,517.4757281553398
徐汇,长桥,227.0,100.01725133058113,16.710537222091208,57.735849056603776,99.48665297741273,112.54502251125564,120.41822825113594,158.52941176470588
徐汇,龙华,775.0,127.83038965324444,32.5401772474902,68.23027718550107,123.52214575613199,146.1804101665869,162.43389830508477,367.00839225856964
普陀,万里,361.0,84.8527324007372,18.58132345404157,49.015911318905054,80.88235294117646,97.48516530093247,108.78010878010878,186.28912071535024
普陀,中远两湾城,263.0,117.8769331471873,25.89492299322878,39.473684210526315,111.22607346094155,135.57166295503012,155.31884979257396,226.96323195642304
普陀,光新,588.0,121.55672284839731,24.620956073104317,53.22644237087659,117.87463784494628,138.93376413570275,152.28739802532954,225.49019607843138
普陀,曹杨,533.0,125.07470446914621,41.13828752920261,58.7160751565762,116.89070718877849,139.15711331803564,156.7132781012091,375.4901960784314
