district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,上大,1.0,23000.0,,23000.0,23000.0,23000.0,23000.0,23000.0
嘉定,丰庄,168.0,5690.476190476191,1583.8431277503237,3000.0,5350.0,6500.0,7830.000000000001,12500.0
嘉定,南翔,276.0,5894.275362318841,2837.6464992681804,2500.0,5100.0,7300.0,8500.0,20000.0
嘉定,嘉定新城,329.0,5352.322188449848,3004.065868691813,1980.0,4700.0,6000.0,7500.0,38000.0
嘉定,嘉定老城,91.0,3446.703296703297,2389.779187821454,1800.0,2900.0,4500.0,5200.0,23000.0
嘉定,外冈,10.0,4820.0,3841.816699890243,1800.0,3650.0,4640.000000000001,7979.999999999997,15000.0
嘉定,安亭,185.0,4406.486486486487,1356.0797402972487,1900.0,4200.0,5200.0,5800.0,11000.0
嘉定,徐行,30.0,4063.3333333333335,2364.315652730643,2500.0,3900.0,4040.0000000000005,4810.0,16000.0
嘉定,新成路,18.0,3733.3333333333335,1828.210310980788,2000.0,2700.0,5200.0,5650.0,8700.0
嘉定,昆山,1.0,4800.0,,4800.0,4800.0,4800.0,4800.0,4800.0
嘉定,江桥,359.0,5464.632311977716,2093.907326593238,2400.0,5200.0,6500.0,7800.0,27000.0
嘉定,菊园新区,150.0,3715.5333333333333,1265.0561897840594,1700.0,3500.0,4500.0,5000.0,10500.0
嘉定,马陆,16.0,4656.25,907.7215064838628,3200.0,4500.0,5400.0,5900.0,6500.0
奉贤,南桥,231.0,3008.874458874459,1129.1510034174914,1480.0,2800.0,3600.0,4000.0,10000.0
奉贤,四团,7.0,3950.0,1061.0529361598003,3100.0,3800.0,4000.0,4880.000000000001,6200.0
奉贤,奉贤金汇,91.0,3047.252747252747,1134.5425567984717,1500.0,3000.0,4000.0,4500.0,6500.0
奉贤,庄行,14.0,3021.4285714285716,569.9913243989859,1800.0,3150.0,3500.0,3500.0,3600.0
奉贤,柘林,5.0,2280.0,609.9180272790762,1500.0,2300.0,2480.0,2840.0,3200.0
奉贤,海湾,88.0,2765.8522727272725,1573.6658683729947,1000.0,2300.0,2960.000000000001,4289.999999999999,9100.0
奉贤,西渡,127.0,3498.503937007874,1319.0694343374896,1600.0,3100.0,4500.0,5000.0,8300.0
奉贤,青村,4.0,3300.0,522.8129047119373,2800.0,3300.0,3740.0,3770.0,3800.0
