month,district,count,mean,std,min,50%,80%,90%,max
1,嘉定,1634.0,5098.725214198286,2466.5266577913426,1700.0,4600.0,6000.0,7500.0,38000.0
1,奉贤,567.0,3094.541446208113,1259.5048039584333,1000.0,2800.0,3800.0,4500.0,10000.0
1,宝山,3109.0,5410.2939852042455,2666.134390448757,1700.0,4800.0,6700.0,7800.0,90000.0
1,崇明,35.0,4014.285714285714,5688.230514540935,1000.0,2600.0,3840.0000000000005,6040.000000000004,32000.0
1,徐汇,2775.0,9947.530810810811,9909.547248351419,1800.0,7000.0,12500.0,18000.0,180000.0
1,普陀,2318.0,7986.666954270923,5398.224949186872,2100.0,6200.0,10800.0,14000.0,69000.0
1,杨浦,2129.0,6743.755753875059,4611.859027177262,1200.0,5500.0,8000.0,10500.0,60000.0
1,松江,2362.0,5828.193056731583,4179.070899418434,1300.0,5000.0,7000.0,8500.0,55000.0
1,浦东,1909.0,9833.640125720272,15147.913654519662,1200.0,6500.0,11000.0,17000.0,400000.0
1,虹口,1422.0,8193.95569620253,17210.93645913225,1300.0,6000.0,10000.0,13890.00000000001,600000.0
1,金山,114.0,2843.8596491228072,1462.6188833139083,1000.0,2550.0,3500.0,4440.000000000001,10000.0
1,长宁,2176.0,9989.2890625,7645.763855427146,2300.0,7000.0,13500.0,19000.0,120000.0
1,闵行,3768.0,7697.928078556263,8706.540781413725,1700.0,6000.0,9000.0,12000.0,300000.0
1,青浦,1785.0,8127.779831932773,8712.545829040764,1200.0,5400.0,10000.0,14190.000000000004,100000.0
1,静安,3056.0,9722.613219895287,8783.246896867593,1000.0,6995.0,13000.0,18000.0,180000.0
1,黄浦,1570.0,14203.968152866242,16427.28830721513,2000.0,9000.0,18000.0,25000.0,240000.0
