district,count,mean,std,min,50%,80%,90%,max
嘉定,13022.0,4897.266894486254,2131.7512287451123,1100.0,4500.0,5900.0,7000.0,45000.0
奉贤,3842.0,3079.2005465903176,1282.549242289911,800.0,2900.0,3800.0,4495.000000000005,30000.0
宝山,20956.0,5194.064468410002,2110.7176276607065,700.0,4800.0,6500.0,7500.0,70000.0
崇明,438.0,2584.6643835616437,2308.0924492707695,500.0,2200.0,3500.0,3915.0000000000005,32000.0
徐汇,18560.0,8963.71082974138,7526.057247966015,1800.0,6500.0,11000.0,16000.0,180000.0
新静安,752.0,5702.940824468085,1479.7296313110305,3190.0,5390.0,6530.0,7556.999999999999,13890.0
普陀,16243.0,7349.176291325494,4837.926609339098,1000.0,5800.0,9000.0,12742.000000000044,100000.0
杨浦,15578.0,6601.4674541019385,4067.6875827289764,700.0,5500.0,7860.0,10500.0,85500.0
松江,14345.0,5521.096828163123,3555.935672487254,1200.0,4800.0,6600.0,8000.0,60000.0
浦东,16255.0,8755.57979083359,9101.314666357526,1000.0,6460.0,10000.0,15000.0,400000.0
虹口,10298.0,8402.552388813361,7418.413291972506,800.0,6000.0,11500.0,15000.0,300000.0
金山,1191.0,2736.6591099916036,1125.9277293696862,800.0,2600.0,3500.0,3800.0,18000.0
长宁,13640.0,9508.439809384165,7225.99354209762,2300.0,6800.0,12500.0,18000.0,130000.0
闵行,26246.0,7162.945115446163,6777.671709871277,600.0,5800.0,8500.0,11000.0,300000.0
闸北,2.0,5645.0,1491.9953083036153,4590.0,5645.0,6278.0,6489.0,6700.0
青浦,10201.0,7133.127144397608,6955.858318903301,1000.0,5000.0,8750.0,12000.0,100000.0
静安,16329.0,9383.358135831955,7963.90100372442,1000.0,6800.0,12500.0,17500.0,200000.0
黄浦,8154.0,13407.317819475104,13739.175473570574,900.0,8977.5,17220.00000000003,25000.0,240000.0
