district,count,mean,std,min,50%,80%,90%,max
嘉定,6942.0,64.09384796110365,40.99488138022068,0.12935407849367175,61.56378707584071,79.11732705490653,88.03333532331911,3100.0
奉贤,2143.0,36.291485614485076,11.093836064319479,8.574150523975867,35.52397868561279,45.17548064455799,50.445043817116456,131.6872427983539
宝山,12058.0,71.80466045089025,19.121443593628612,17.44120625632947,70.551530054127,86.74962416434062,95.81192860496243,391.6666666666667
崇明,112.0,28.187161370069386,14.685029559659952,6.512605042016807,24.463917099948922,37.395668251452726,41.816299958726745,91.96723667193562
徐汇,10284.0,135.93774129991118,47.19991849742233,43.872919818456886,128.89491934268054,163.53992370183025,189.32980075135092,857.1428571428571
新静安,279.0,124.32737123696651,25.46688507823036,72.63074663955722,122.6829268292683,146.57834835366,159.17311361665227,219.16338934572758
普陀,9086.0,112.47400332148274,63.014536308037414,0.7402422611036339,108.79435825832532,133.72093023255815,149.41383889728442,5400.0
杨浦,8827.0,111.2389043388418,23.678461065715197,28.718439631446692,108.50439882697947,129.6816381849363,141.53754469606673,379.56204379562047
松江,8085.0,inf,,16.539440203562343,58.8235294117647,71.60022393117063,81.14765975945515,inf
浦东,8461.0,107.01412410392875,42.61371922812626,13.610071452875127,101.47133434804667,137.09174121073434,158.16111345423872,862.9058354007119
虹口,5732.0,117.22996790371309,32.45886227522928,1.0,111.68664354848445,138.64283281522924,156.59500725233724,336.0
金山,532.0,31.154089023075684,7.550298672974534,13.378523011059578,30.5981885241252,37.61948623843243,40.89242355652496,65.08298080052066
长宁,7792.0,142.7072354652644,38.05418917426638,47.76562997558646,138.13591223342968,167.89222240048488,186.6644545831605,666.6666666666666
闵行,14448.0,84.64115632740683,29.046319132753663,1.0,80.08970046452026,104.78515849253245,119.86105868761486,600.3340989768219
闸北,1.0,139.0909090909091,,139.0909090909091,139.0909090909091,139.0909090909091,139.0909090909091,139.0909090909091
青浦,6212.0,65.39901053365715,24.417952459021137,1.0,60.70699386696518,84.90566037735849,96.84009088674529,262.3906705539359
静安,9824.0,140.24029448396678,53.500739253249684,29.41176470588235,129.84388007811887,174.5152354570637,206.01017776438363,670.7317073170732
黄浦,4760.0,171.51716976188294,55.50714976714181,30.0,158.97802740875971,199.52042872516378,242.99308629339322,707.9646017699115
