district,count,mean,std,min,50%,80%,90%,max
嘉定,6942.0,4973.408815903198,2178.7418181959797,1500.0,4500.0,6000.0,7286.000000000022,38000.0
奉贤,2143.0,3107.6992533831076,1178.0215086316105,1000.0,2940.0,3800.0,4500.0,13650.0
宝山,12058.0,5298.1358434234535,2278.453442794813,700.0,4800.0,6500.0,7615.000000000055,90000.0
崇明,112.0,3317.723214285714,4083.752187842511,700.0,2550.0,3680.000000000001,4054.0000000000005,32000.0
徐汇,10284.0,9150.949144301829,7876.713834616084,1800.0,6600.0,11269.999999999982,16500.0,180000.0
新静安,279.0,5714.982078853047,1397.9437943621563,3190.0,5490.0,6570.000000000001,7590.0,12890.0
普陀,9086.0,7430.479694034779,4875.362277116637,1200.0,5890.0,9300.0,13000.0,80000.0
杨浦,8827.0,6481.472527472528,4007.3267887947636,1200.0,5400.0,7746.000000000004,10000.0,100000.0
松江,8085.0,5619.9936920222635,3674.2540403028243,1200.0,4900.0,6800.0,8300.0,55000.0
浦东,8461.0,9123.279872355513,10152.482257727452,1000.0,6500.0,10500.0,16000.0,400000.0
虹口,5732.0,8321.505669923237,8280.626297888617,1300.0,6000.0,11000.0,14800.0,300000.0
金山,532.0,2753.092105263158,1094.3446804532095,1000.0,2600.0,3500.0,4000.0,10000.0
长宁,7792.0,9572.552361396303,7398.245216262835,2300.0,6825.0,12580.000000000018,18000.0,130000.0
闵行,14448.0,7212.526681893688,6957.126004739824,1350.0,5800.0,8500.0,11200.0,300000.0
闸北,1.0,4590.0,,4590.0,4590.0,4590.0,4590.0,4590.0
青浦,6212.0,7136.837572440438,6869.3112650700095,1000.0,5000.0,8790.00000000001,12000.0,100000.0
静安,9824.0,9461.160321661238,8176.894504673348,1000.0,6800.0,12500.0,17705.00000000011,180000.0
黄浦,4760.0,13934.760924369748,14964.975341297082,900.0,9075.0,18000.0,26000.0,250000.0
