district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,上大,1.0,23000.0,,23000.0,23000.0,23000.0,23000.0,23000.0
嘉定,丰庄,1086.0,5560.778084714549,1564.3805666013084,2665.0,5200.0,6500.0,7600.0,16800.0
嘉定,华亭,1.0,3450.0,,3450.0,3450.0,3450.0,3450.0,3450.0
嘉定,南翔,2284.0,5788.555823117338,2880.2443448121558,2280.0,5000.0,7000.0,8500.0,38000.0
嘉定,嘉定新城,2152.0,4872.8675650557625,2248.9767699942977,1700.0,4500.0,5500.0,6800.0,38000.0
嘉定,嘉定老城,637.0,3219.576923076923,1235.2083146382734,1500.0,3000.0,3600.0,4600.0,23000.0
嘉定,外冈,100.0,4186.25,2684.014065262187,1700.0,3500.0,4710.0,7380.0000000000155,15000.0
嘉定,安亭,1888.0,4109.967690677966,1722.9966245062565,1100.0,3900.0,4700.0,5500.0,45000.0
嘉定,徐行,339.0,3859.466076696165,1261.3739038544816,2100.0,3800.0,4320.000000000002,4800.0,16000.0
嘉定,新成路,108.0,3597.3333333333335,1396.4616902502012,1800.0,3075.0,5000.0,5500.0,8700.0
嘉定,昆山,7.0,4300.0,416.33319989322655,3700.0,4500.0,4580.0,4680.0,4800.0
嘉定,江桥,2956.0,5474.523680649527,1657.6595879707393,2400.0,5200.0,6500.0,7500.0,27000.0
嘉定,菊园新区,1260.0,3954.5829365079367,1270.694742235641,1500.0,3725.0,4890.0,5500.0,17000.0
嘉定,长征,4.0,4575.0,262.99556396765837,4200.0,4650.0,4740.0,4770.0,4800.0
嘉定,马陆,199.0,4318.743718592965,878.6726270365283,2500.0,4200.0,4800.0,5320.000000000002,8000.0
奉贤,南桥,1658.0,3049.3262967430637,1066.6241598400693,1000.0,2900.0,3800.0,4200.0,10000.0
奉贤,四团,51.0,3908.823529411765,1051.2233769448308,1600.0,3900.0,4600.0,4900.0,7000.0
奉贤,奉城,3.0,3166.6666666666665,1184.6237095944573,1800.0,3800.0,3860.0,3880.0,3900.0
奉贤,奉贤金汇,715.0,2915.7776223776223,919.6199260140409,1200.0,2900.0,3526.0000000000014,4100.0,8000.0
奉贤,庄行,65.0,3257.076923076923,1562.3387147527853,1500.0,3000.0,3500.0,3720.0000000000005,12000.0
奉贤,柘林,37.0,2420.4054054054054,642.6965527049751,1200.0,2400.0,2890.0,3000.0,4500.0
奉贤,海湾,580.0,2998.3112068965515,1644.6788889633287,800.0,2500.0,3800.0,4610.000000000002,13000.0
奉贤,西渡,681.0,3352.656387665198,1659.5496836025027,1300.0,3000.0,4100.0,4800.0,30000.0
奉贤,青村,52.0,3027.5,797.2818405892193,1500.0,3000.0,3800.0,4000.0,4500.0
宝山,上大,2482.0,5903.429693795327,2321.213837837433,1500.0,5500.0,7050.0,8000.0,65000.0
宝山,共富,563.0,5408.048845470693,1859.4696003629454,2500.0,4940.0,6000.0,7800.0,15000.0
宝山,共康,1038.0,6139.042389210019,1805.9361228412558,2800.0,5999.5,7500.0,8200.0,14000.0
宝山,大华,1804.0,7021.241407982262,2622.2247993431024,2180.0,6700.0,8250.0,9000.0,70000.0
宝山,大场镇,810.0,5186.526543209877,1583.7187479262705,1900.0,4800.0,6200.0,7000.0,22000.0
宝山,张庙,1319.0,4584.454510993177,1092.256793391165,1800.0,4400.0,5350.0,6000.0,11500.0
宝山,月浦,632.0,3586.8449367088606,872.1554085949126,2000.0,3400.0,4200.0,4700.0,10000.0
宝山,杨行,1816.0,5463.984856828194,1612.8787699731379,1800.0,5200.0,6300.0,7000.0,35000.0
宝山,淞南,1224.0,5532.178513071895,2161.8864103800292,1880.0,4800.0,6800.0,8035.000000000002,18000.0
宝山,淞宝,1504.0,4121.98869680851,1557.40301749016,2000.0,3800.0,4600.0,5535.000000000002,22000.0
宝山,罗店,1632.0,4215.838235294118,2258.5915125711786,1700.0,3500.0,5000.0,6300.0,31000.0
宝山,罗泾,94.0,3812.8829787234044,1017.3509228074983,1200.0,3800.0,4439.6,4600.0,8000.0
宝山,通河,495.0,4618.767676767677,1040.8635042985338,2500.0,4400.0,5300.0,5874.000000000001,11000.0
宝山,顾村,4060.0,4565.65381773399,1827.016221537113,700.0,4300.0,5200.0,6000.0,32000.0
宝山,高境,1483.0,5826.904922454484,1864.434787358299,2180.0,5500.0,7200.0,8189.899999999998,15000.0
崇明,崇明其它,3.0,5435.0,8284.846105993762,505.0,800.0,9320.0,12160.0,15000.0
崇明,崇明新城,168.0,2242.0416666666665,1051.5672042622098,600.0,2200.0,3100.0,3500.0,6800.0
崇明,长兴岛,79.0,3305.0632911392404,1342.2998570361565,1500.0,3200.0,4000.0,4520.0,10000.0
崇明,陈家镇,188.0,2542.6329787234044,3085.3433680547832,500.0,2000.0,2800.0,3658.000000000001,32000.0
徐汇,万体馆,921.0,7332.862106406081,3186.295197026654,2500.0,6300.0,8900.0,11750.0,35000.0
徐汇,上海南站,774.0,5706.207364341085,2053.4059715620297,3300.0,5300.0,6500.0,7497.0,35000.0
徐汇,华东理工,993.0,5445.554884189325,1643.6080374606513,3000.0,5100.0,6000.0,6900.0,18000.0
徐汇,华泾,967.0,6965.006721820062,5085.102530893155,2825.0,5350.0,8000.0,11300.0,58000.0
徐汇,康健,1942.0,6948.278578784758,4060.682673898361,3480.0,5900.0,7600.0,10000.0,100000.0
徐汇,建国西路,570.0,13226.928070175438,10665.581311277449,2000.0,8800.0,19000.0,28000.0,68000.0
徐汇,徐家汇,4702.0,10005.079115270099,6141.322758304572,2400.0,7795.0,14000.0,17850.0,72000.0
徐汇,徐汇滨江,570.0,22423.822807017543,16939.7577607318,3500.0,20000.0,32000.0,43000.0,135000.0
徐汇,斜土路,1242.0,8541.082930756844,5464.020783714639,3025.0,6575.0,10800.0,15240.00000000001,68000.0
徐汇,植物园,621.0,6487.961352657005,3496.006550584507,3045.0,5690.0,7500.0,8500.0,38500.0
徐汇,漕河泾,317.0,10029.274447949527,4954.888882608461,3180.0,8600.0,12880.000000000002,17200.00000000002,32000.0
徐汇,田林,1507.0,8322.302587923026,5016.561170175922,3000.0,6800.0,9500.0,13000.0,55000.0
徐汇,衡山路,1090.0,11513.725229357799,10284.440174769255,1800.0,8300.0,14000.0,23000.0,100000.0
徐汇,金汇,10.0,5026.0,560.1428389259297,4000.0,5100.0,5520.0,5605.0,5650.0
徐汇,长桥,533.0,6662.908067542214,4127.529320812163,2500.0,5200.0,7200.0,12400.000000000005,25000.0
徐汇,龙华,1801.0,8709.466129927818,10287.05507563413,3000.0,6500.0,8900.0,14500.0,180000.0
新静安,不夜城,83.0,7015.933734939759,1710.0318367651855,4365.0,6560.0,7748.0,8984.0,13890.0
新静安,大宁,179.0,5766.449720670391,1221.6630370562384,3945.0,5490.0,6572.0,7244.0,10260.0
新静安,"大宁, 闸北公园",1.0,7030.0,,7030.0,7030.0,7030.0,7030.0,7030.0
新静安,彭浦,204.0,4756.254901960784,705.9992751956886,3190.0,4690.0,5270.000000000001,5624.0,7290.0
新静安,永和,47.0,4914.5,707.8537600748998,3475.0,4790.0,5565.000000000001,5970.0,6760.0
新静安,西藏北路,140.0,6357.932142857143,1675.9461938388288,4110.0,5933.5,7566.0,8490.5,12890.0
新静安,闸北公园,39.0,6019.410256410257,1815.8967295866846,4090.0,5587.0,6618.0,9177.000000000002,11590.0
新静安,阳城,59.0,5778.635593220339,1152.709966027988,4060.0,5560.0,6458.000000000001,7086.0,9290.0
普陀,万里,789.0,7970.841571609632,3596.107264933737,3700.0,7500.0,9000.0,10520.000000000004,37000.0
普陀,中远两湾城,544.0,10829.193014705883,3178.8732789518926,1400.0,10350.0,13000.0,14550.0,28000.0
普陀,光新,1067.0,7699.564667291472,5375.831585222979,2600.0,5500.0,9340.000000000004,14619.999999999998,38000.0
普陀,曹杨,1086.0,5451.8370165745855,1765.6604542695538,1800.0,5000.0,6400.0,7375.0,16750.0
普陀,桃浦,1955.0,5283.5319693094625,2226.3767781341285,1000.0,4800.0,6252.0,7500.0,44500.0
普陀,武宁,1838.0,9074.367791077259,5559.170017359829,2100.0,7000.0,12218.000000000004,15000.0,55000.0
普陀,甘泉宜川,2301.0,4983.340938722295,3107.114819479261,1900.0,4600.0,5800.0,6500.0,100000.0
普陀,真光,895.0,5959.898882681564,1603.2108886089986,3400.0,5600.0,7002.0,8000.0,22500.0
