district,subdistrict,count,mean,std,min,50%,80%,90%,max
嘉定,上大,1.0,34.226190476190474,,34.226190476190474,34.226190476190474,34.226190476190474,34.226190476190474,34.226190476190474
嘉定,丰庄,168.0,85.81246671636929,17.12021087197034,47.65434713544424,83.86851706478929,98.38718656469788,107.2017175135594,174.901617839965
嘉定,南翔,276.0,73.18316299771806,17.432750893168254,37.5,70.39798468035781,87.27272727272727,96.0229024320522,138.73021054349599
嘉定,嘉定新城,329.0,59.82984120248074,15.415596661378663,23.06406042783832,57.971014492753625,69.80178461957632,77.6957991136317,137.5
嘉定,嘉定老城,91.0,48.53564281350061,14.140280405324958,25.756600128783003,45.50194331216229,59.48132286462051,64.22786931024854,118.4163105596458
嘉定,外冈,10.0,37.06727622491246,10.037230696265429,21.05263157894737,37.45804594001278,41.57303370786517,43.36693049577732,59.512001586986706
嘉定,安亭,185.0,50.57985568134243,11.405380709648202,20.836806134355726,50.0,57.458145260566276,62.38490193061713,97.69441187964048
嘉定,徐行,30.0,49.36416009302276,13.060889253550009,22.727272727272727,47.76895757703937,52.127897403631835,54.568105065666046,108.03511141120865
嘉定,新成路,18.0,40.62590234312194,6.3642596136203196,30.48780487804878,39.858560494041896,45.970733030905556,49.61384168580788,51.22458780214503
嘉定,昆山,1.0,37.14882749013234,,37.14882749013234,37.14882749013234,37.14882749013234,37.14882749013234,37.14882749013234
嘉定,江桥,359.0,71.32646182923116,14.330398348974517,38.82288997592981,70.31936712569586,83.14656609765781,90.5027024578123,118.56368563685638
嘉定,菊园新区,150.0,46.918963703992496,11.008090679723399,25.179403248143018,46.60122181189597,56.603001564846615,61.391635223046634,74.8580278781621
嘉定,马陆,16.0,54.4982886047824,7.3693185388255324,35.833333333333336,56.03864734299517,59.81308411214953,61.90677980615703,66.44518272425249
奉贤,南桥,231.0,35.64724586078924,10.347148434516187,14.01443486791395,33.733133433283356,42.06797298793313,49.009162582569786,73.96449704142013
奉贤,四团,7.0,42.04160373090205,8.160681105579473,32.92224080267558,43.59798072510326,45.80566466037769,49.87881492344919,55.85812037424941
奉贤,奉贤金汇,91.0,33.20922532796298,10.726757303739019,16.9527442254715,33.333333333333336,42.89613934745873,46.875,63.63636363636363
奉贤,庄行,14.0,26.841364792716853,8.043053486918712,16.116035455278002,27.812856428598273,34.44782870037398,37.19427211437728,38.9321468298109
奉贤,柘林,5.0,23.274751711053813,7.9072978550254875,14.080540692762602,21.975722059439097,25.408833018133276,30.68194459895428,35.95505617977528
奉贤,海湾,88.0,28.737469081978375,10.20596640626079,8.574150523975867,28.19293663147315,33.111818402045905,42.433779939614595,68.75188878815351
奉贤,西渡,127.0,45.15414757133894,12.479699664446509,18.94387875917594,44.11764705882353,54.84603000929526,63.40850899500578,76.41196013289036
奉贤,青村,4.0,47.28685059655446,5.17916924757483,40.7488986784141,47.54754754754755,50.35039247411249,51.826900543410574,53.30340861270865
宝山,上大,325.0,72.84474557980764,14.527634330620025,37.36300232480903,70.56748015289621,82.52053309262892,89.55868053597459,186.76410881039385
宝山,共富,79.0,65.52255581496325,14.52908323779364,42.397756180288305,62.885475873745314,72.87453981033916,83.07905374305747,110.68943706514864
宝山,共康,159.0,79.52110748619694,13.357028933191982,50.925925925925924,79.01163625915817,87.41035200290914,93.53584097427022,131.13754193351633
宝山,大华,285.0,84.89108824807177,15.788426642895095,52.74588892336333,83.38678640153944,94.37340222553111,100.56590837899996,174.89711934156378
